id	al_len	cons_fr	gap_fr	fpr30	fpr50	fpr70	tpr30	tpr50	tpr70	tfpr30	tfpr50	tfpr70	pq	tr_len	ols	ols_n	fm	bme	topo	max_dist	mean_dist	fastme	rfd	cd	category
20_PF00004_10	134	0.9328	0.0000	0.0000	0.0000	0.0037	0.0000	0.0016	0.2311	0.0000	0.0098	0.3937	40182	0.1959	2.2050	3.8602e+03	2.2016	0.010	3401	0.0627	0.0239	941.0	0.7647	2.5288	bad
20_PF00004_11	131	0.6794	0.0076	0.0143	0.0443	0.0773	0.0738	0.1413	0.2160	0.0781	0.1498	0.2368	160324	0.3126	5.4626	4.4819e+02	5.4109	0.016	4244	0.2166	0.1104	1356.0	0.5294	2.6077	bad
20_PF00004_12	161	0.0373	0.2422	0.0190	0.0344	0.0537	0.0398	0.0732	0.1176	0.0692	0.1081	0.1579	1470025	0.2835	5.3098	2.4350e+00	1.5608	0.014	4141	3.1242	1.4767	1437.0	0.4118	1.8904	n
20_PF00004_13	139	0.7482	0.0216	0.0152	0.0423	0.0737	0.0669	0.1177	0.1785	0.0755	0.1439	0.2093	168447	0.3067	3.3012	3.7440e+02	3.2696	0.015	4198	0.1726	0.0939	1497.0	0.4706	1.8960	bad
20_PF00004_14	144	0.3194	0.1528	0.0126	0.0235	0.0385	0.0393	0.0786	0.1412	0.0872	0.1515	0.2647	709988	0.2779	1.7457	1.3277e+01	1.6373	0.014	4484	0.6654	0.3626	1469.0	0.4118	1.4272	n
20_PF00004_15	134	0.7612	0.0000	0.0140	0.0612	0.1117	0.0874	0.1624	0.2599	0.0736	0.1246	0.1964	123195	0.3012	11.2790	2.2187e+03	11.2340	0.015	3776	0.1647	0.0713	1325.0	0.5882	2.0209	bad
20_PF00004_16	134	0.7910	0.0000	0.0000	0.0000	0.0017	0.0000	0.0003	0.0678	0.0000	0.0037	0.2142	199548	0.2173	0.5933	9.3168e+01	0.5877	0.011	3228	0.1853	0.0798	858.0	0.7647	2.8654	bad
20_PF00004_17	162	0.2654	0.1111	0.0110	0.0212	0.0398	0.0396	0.0708	0.1208	0.0805	0.1450	0.2202	876774	0.2745	2.1677	8.0600e+00	1.8353	0.014	4452	1.0268	0.5186	1503.0	0.3529	1.7029	n
20_PF00004_18	135	0.3185	0.2741	0.0128	0.0243	0.0389	0.0326	0.0651	0.1116	0.0686	0.1311	0.2094	709074	0.2528	1.7959	1.7704e+01	1.6725	0.013	4471	0.5353	0.3185	1567.0	0.2353	1.1216	good
20_PF00004_1	128	0.4141	0.0391	0.0099	0.0220	0.0401	0.0393	0.0800	0.1727	0.1080	0.1662	0.2939	707337	0.2237	2.1197	1.5858e+01	1.9325	0.011	4583	0.6618	0.3656	1472.0	0.2353	1.0438	good
20_PF00004_2	137	0.6715	0.0219	0.0176	0.0324	0.0543	0.0596	0.1006	0.1593	0.0852	0.1455	0.2334	377691	0.2724	2.7948	9.8669e+01	2.7451	0.014	4415	0.3152	0.1683	1528.0	0.4118	1.4582	n
20_PF00004_3	131	0.6794	0.1679	0.0008	0.0047	0.1558	0.1447	0.1992	0.2929	0.0786	0.1373	0.2278	43541	0.3092	15.1896	7.8459e+03	15.1757	0.015	3809	0.1467	0.0440	1158.0	0.5294	1.8180	bad
